nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 2
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 8.35833/12.7996
[dynet]
[dynet] Device(s) selected: 2
[dynet] random seed: 1464440696
[dynet] allocating memory: 4000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 3622 8.32917131696
Iter 100 / 3622 7.7783478957
Iter 150 / 3622 7.22105742664
Iter 200 / 3622 7.6097249349
Iter 250 / 3622 7.33461032444
Iter 300 / 3622 6.99280156675
Iter 350 / 3622 7.15038426717
Iter 400 / 3622 7.02286834717
Iter 450 / 3622 7.18321456909
Iter 500 / 3622 7.3524424235
Iter 550 / 3622 7.2400659768
Iter 600 / 3622 6.98690880032
Iter 650 / 3622 6.6955426534
Iter 700 / 3622 7.25535203042
Iter 750 / 3622 7.00873428736
Iter 800 / 3622 6.99255180359
Iter 850 / 3622 7.19099677364
Iter 900 / 3622 7.23286220006
Iter 950 / 3622 6.00221015504
Iter 1000 / 3622 6.40078396267
Iter 1050 / 3622 7.53192647298
Iter 1100 / 3622 6.60882568359
Iter 1150 / 3622 7.06525293986
Iter 1200 / 3622 6.54686868849
Iter 1250 / 3622 7.06752372082
Iter 1300 / 3622 6.73865000407
Iter 1350 / 3622 6.9080171131
Iter 1400 / 3622 6.1237224599
Iter 1450 / 3622 7.6225151062
Iter 1500 / 3622 6.63537536621
Iter 1550 / 3622 5.80542718797
Iter 1600 / 3622 6.5678858757
Iter 1650 / 3622 6.62564722697
Iter 1700 / 3622 6.99053552016
Iter 1750 / 3622 6.63641027502
Iter 1800 / 3622 6.21040395101
Iter 1850 / 3622 7.1352185336
Iter 1900 / 3622 6.443754673
Iter 1950 / 3622 6.60506359282
Iter 2000 / 3622 6.40667230943
Iter 2050 / 3622 5.96670492593
Iter 2100 / 3622 6.60193980824
Iter 2150 / 3622 6.82433356208
Iter 2200 / 3622 6.57137932055
Iter 2250 / 3622 6.14226250899
Iter 2300 / 3622 6.16883468628
Iter 2350 / 3622 6.44232810692
Iter 2400 / 3622 6.86027860093
Iter 2450 / 3622 6.7389310949
Iter 2500 / 3622 5.8372568403
Iter 2550 / 3622 6.56456964666
Iter 2600 / 3622 6.63931438293
Iter 2650 / 3622 6.3083188101
Iter 2700 / 3622 5.49294296576
Iter 2750 / 3622 5.87292175293
Iter 2800 / 3622 5.92910718918
Iter 2850 / 3622 5.22525485726
Iter 2900 / 3622 6.51983226429
Iter 2950 / 3622 6.62009330418
Iter 3000 / 3622 6.67650131952
Iter 3050 / 3622 6.58726831553
Iter 3100 / 3622 6.39371185303
Iter 3150 / 3622 5.89010495556
Iter 3200 / 3622 6.12237082587
Iter 3250 / 3622 6.10203231008
Iter 3300 / 3622 7.15114048549
Iter 3350 / 3622 6.30730197728
Iter 3400 / 3622 7.02480966073
Iter 3450 / 3622 5.49696725314
Iter 3500 / 3622 6.51888834635
Iter 3550 / 3622 5.80908333681
Iter 3600 / 3622 6.58262013865
Epoch 1 Valid 1.37806477235
Epoch 1 Test 1.28640314756
Epoch 2
Iter 50 / 3622 6.07200505183
Iter 100 / 3622 6.8667563414
Iter 150 / 3622 6.29368010021
Iter 200 / 3622 5.67260117964
Iter 250 / 3622 5.33812189102
Iter 300 / 3622 6.5226037098
Iter 350 / 3622 5.71116319444
Iter 400 / 3622 5.89791107178
Iter 450 / 3622 6.38107412833
Iter 500 / 3622 6.59459755637
Iter 550 / 3622 6.38597087117
Iter 600 / 3622 6.38553128924
Iter 650 / 3622 6.13848317464
Iter 700 / 3622 5.75097060785
Iter 750 / 3622 6.07033157349
Iter 800 / 3622 6.06647766528
Iter 850 / 3622 5.62666719454
Iter 900 / 3622 6.86851574126
Iter 950 / 3622 6.31737338362
Iter 1000 / 3622 6.30675970339
Iter 1050 / 3622 6.0923227671
Iter 1100 / 3622 5.96629333496
Iter 1150 / 3622 6.09521245021
Iter 1200 / 3622 6.08987111059
Iter 1250 / 3622 6.59220581055
Iter 1300 / 3622 6.0087481047
Iter 1350 / 3622 3.09201335907
Iter 1400 / 3622 6.60334852431
Iter 1450 / 3622 8.43597142837
Iter 1500 / 3622 6.51606926551
Iter 1550 / 3622 6.5090101454
Iter 1600 / 3622 5.75476702522
Iter 1650 / 3622 5.84642433634
Iter 1700 / 3622 5.62292560778
Iter 1750 / 3622 5.94534414786
Iter 1800 / 3622 5.51237731421
Iter 1850 / 3622 5.57809993199
Iter 1900 / 3622 5.7386079268
Iter 1950 / 3622 5.97539215088
Iter 2000 / 3622 5.54078125
Iter 2050 / 3622 6.17046050276
Iter 2100 / 3622 5.98139398748
Iter 2150 / 3622 5.82791756893
Iter 2200 / 3622 6.25094359527
Iter 2250 / 3622 6.1649613444
Iter 2300 / 3622 6.21858927409
Iter 2350 / 3622 6.14853966754
Iter 2400 / 3622 6.14429146903
Iter 2450 / 3622 5.04064178467
Iter 2500 / 3622 5.9848006352
Iter 2550 / 3622 6.2748448989
Iter 2600 / 3622 7.00590345595
Iter 2650 / 3622 6.24204819623
Iter 2700 / 3622 5.6067136102
Iter 2750 / 3622 6.21372090081
Iter 2800 / 3622 5.11341875862
Iter 2850 / 3622 5.71285005049
Iter 2900 / 3622 6.37230244621
Iter 2950 / 3622 5.6280343192
Iter 3000 / 3622 5.87273343404
Iter 3050 / 3622 5.56267038981
Iter 3100 / 3622 4.87728016412
Iter 3150 / 3622 5.87837320964
Iter 3200 / 3622 6.1885025922
Iter 3250 / 3622 4.70203052868
Iter 3300 / 3622 6.43983078003
Iter 3350 / 3622 6.95054315888
Iter 3400 / 3622 5.81520271301
Iter 3450 / 3622 5.97309548514
Iter 3500 / 3622 6.34342323861
Iter 3550 / 3622 5.82820031998
Iter 3600 / 3622 5.76982421875
Epoch 2 Valid 1.82988114233
Epoch 2 Test 1.50013873764
Epoch 3
Iter 50 / 3622 6.20581137167
Iter 100 / 3622 5.5559523733
Iter 150 / 3622 5.44018085186
Iter 200 / 3622 5.66112436148
Iter 250 / 3622 5.94226074219
Iter 300 / 3622 5.39345245361
Iter 350 / 3622 5.42224993025
Iter 400 / 3622 5.47342409406
Iter 450 / 3622 5.30690994263
Iter 500 / 3622 5.70318388603
Iter 550 / 3622 5.18342686907
Iter 600 / 3622 5.81386413574
Iter 650 / 3622 6.23208797679
Iter 700 / 3622 5.69949035645
Iter 750 / 3622 5.71441323417
Iter 800 / 3622 5.48603968466
Iter 850 / 3622 5.69131176288
Iter 900 / 3622 5.22258079445
Iter 950 / 3622 4.81575916203
Iter 1000 / 3622 3.08777978685
Iter 1050 / 3622 6.31967515212
Iter 1100 / 3622 5.5292619185
Iter 1150 / 3622 5.88773479616
Iter 1200 / 3622 5.73130108925
Iter 1250 / 3622 5.56832885742
Iter 1300 / 3622 5.64284728499
Iter 1350 / 3622 5.47148367635
Iter 1400 / 3622 5.92550385888
Iter 1450 / 3622 3.69897715251
Iter 1500 / 3622 5.82641741071
Iter 1550 / 3622 5.15444844564
