nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 2
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 12.6834/12.7996
[dynet]
[dynet] Device(s) selected: 2
[dynet] random seed: 2568719530
[dynet] allocating memory: 4000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 3707 7.10039718063
Iter 100 / 3707 6.77533500425
Iter 150 / 3707 6.8233786918
Iter 200 / 3707 6.71486074899
Iter 250 / 3707 6.59699168944
Iter 300 / 3707 5.9138554891
Iter 350 / 3707 6.1389956267
Iter 400 / 3707 6.58632220644
Iter 450 / 3707 5.95951194763
Iter 500 / 3707 6.21866861979
Iter 550 / 3707 6.66617031755
Iter 600 / 3707 5.8071677468
Iter 650 / 3707 6.21655654907
Iter 700 / 3707 5.99335715554
Iter 750 / 3707 5.62368329366
Iter 800 / 3707 6.00465009136
Iter 850 / 3707 5.32404545375
Iter 900 / 3707 5.78511167827
Iter 950 / 3707 5.71113292988
Iter 1000 / 3707 5.955859375
Iter 1050 / 3707 6.1343414572
Iter 1100 / 3707 6.21016693115
Iter 1150 / 3707 6.17587940113
Iter 1200 / 3707 5.86652475033
Iter 1250 / 3707 6.27851131664
Iter 1300 / 3707 6.04580434163
Iter 1350 / 3707 5.59263271756
Iter 1400 / 3707 5.97539741762
Iter 1450 / 3707 5.94082919034
Iter 1500 / 3707 5.54104370117
Iter 1550 / 3707 5.93775353065
Iter 1600 / 3707 5.41539695046
Iter 1650 / 3707 4.5684483846
Iter 1700 / 3707 5.73809407552
Iter 1750 / 3707 5.60725911458
Iter 1800 / 3707 6.92981363932
Iter 1850 / 3707 6.20420663568
Iter 1900 / 3707 6.32594935099
Iter 1950 / 3707 5.70515127743
Iter 2000 / 3707 5.74628318931
Iter 2050 / 3707 5.67922408492
Iter 2100 / 3707 5.87600969587
Iter 2150 / 3707 5.38845062256
Iter 2200 / 3707 6.22803751628
Iter 2250 / 3707 5.81397224195
Iter 2300 / 3707 4.87497329712
Iter 2350 / 3707 5.50286870217
Iter 2400 / 3707 6.36761512756
Iter 2450 / 3707 6.22389698029
Iter 2500 / 3707 5.37660339355
Iter 2550 / 3707 6.18596903483
Iter 2600 / 3707 5.83412467109
Iter 2650 / 3707 5.56636826015
Iter 2700 / 3707 5.32390242357
Iter 2750 / 3707 5.86351839701
Iter 2800 / 3707 5.91409519741
Iter 2850 / 3707 5.09443752245
Iter 2900 / 3707 5.28380126953
Iter 2950 / 3707 5.6478644477
Iter 3000 / 3707 6.04636332194
Iter 3050 / 3707 4.5418308803
Iter 3100 / 3707 5.57072850278
Iter 3150 / 3707 5.45298652649
Iter 3200 / 3707 4.83012421277
Iter 3250 / 3707 5.20035743713
Iter 3300 / 3707 5.19588973171
Iter 3350 / 3707 5.48348725148
Iter 3400 / 3707 6.24506657298
Iter 3450 / 3707 4.84331076486
Iter 3500 / 3707 6.93853412975
Iter 3550 / 3707 6.02282083446
Iter 3600 / 3707 5.37193692835
Iter 3650 / 3707 5.40542030039
Iter 3700 / 3707 5.48586600167
Epoch 1 Valid 2.21419143383
Epoch 1 Test 2.21018114678
Epoch 2
Iter 50 / 3707 6.48527895171
Iter 100 / 3707 5.18417358398
Iter 150 / 3707 4.7159538269
Iter 200 / 3707 4.89940098354
Iter 250 / 3707 5.62716838292
Iter 300 / 3707 4.11841058731
Iter 350 / 3707 4.02609163172
Iter 400 / 3707 5.31179457444
Iter 450 / 3707 4.31175831386
Iter 500 / 3707 5.25263635436
Iter 550 / 3707 5.74477864583
Iter 600 / 3707 5.02922014509
Iter 650 / 3707 4.93239339193
Iter 700 / 3707 4.94253861277
Iter 750 / 3707 4.45536006581
Iter 800 / 3707 5.78746697842
Iter 850 / 3707 5.85612487793
Iter 900 / 3707 4.96120280604
Iter 950 / 3707 4.82576141357
Iter 1000 / 3707 5.82125068433
Iter 1050 / 3707 5.00204801621
Iter 1100 / 3707 5.29861573915
Iter 1150 / 3707 4.7429634543
Iter 1200 / 3707 5.27679397121
Iter 1250 / 3707 5.46534603215
Iter 1300 / 3707 4.07485919529
Iter 1350 / 3707 5.35673268636
Iter 1400 / 3707 5.4337135171
Iter 1450 / 3707 4.8914975253
Iter 1500 / 3707 4.39661965003
Iter 1550 / 3707 4.85247450608
Iter 1600 / 3707 5.45732430851
Iter 1650 / 3707 4.70499324799
Iter 1700 / 3707 5.23009622508
Iter 1750 / 3707 5.25876439067
Iter 1800 / 3707 6.38486671448
Iter 1850 / 3707 4.262149464
Iter 1900 / 3707 4.93706185477
Iter 1950 / 3707 4.666015625
Iter 2000 / 3707 4.70368754069
Iter 2050 / 3707 5.91802345132
Iter 2100 / 3707 4.79594008128
Iter 2150 / 3707 5.11472544951
Iter 2200 / 3707 3.95207715034
Iter 2250 / 3707 5.02299864396
Iter 2300 / 3707 5.89165351504
Iter 2350 / 3707 5.28577229128
Iter 2400 / 3707 5.0309852263
Iter 2450 / 3707 5.56948067801
Iter 2500 / 3707 4.64568418615
Iter 2550 / 3707 5.25070468988
Iter 2600 / 3707 5.38272427646
Iter 2650 / 3707 5.18315188985
Iter 2700 / 3707 4.9735286937
Iter 2750 / 3707 4.6223609561
Iter 2800 / 3707 4.622829687
Iter 2850 / 3707 4.61963568793
Iter 2900 / 3707 5.07102046334
Iter 2950 / 3707 4.79177128185
Iter 3000 / 3707 5.89520568848
Iter 3050 / 3707 5.24385716365
Iter 3100 / 3707 4.89922960069
Iter 3150 / 3707 5.79665926187
Iter 3200 / 3707 4.90089111328
Iter 3250 / 3707 4.44932070645
Iter 3300 / 3707 4.85163443429
Iter 3350 / 3707 5.62702274323
Iter 3400 / 3707 4.90506907872
Iter 3450 / 3707 5.35936836574
Iter 3500 / 3707 4.96536972943
Iter 3550 / 3707 4.95668640137
Iter 3600 / 3707 5.44697665458
Iter 3650 / 3707 4.5296075609
Iter 3700 / 3707 4.81382478749
Epoch 2 Valid 4.36125237172
Epoch 2 Test 4.59240025024
Epoch 3
Iter 50 / 3707 5.29184777396
Iter 100 / 3707 4.664402771
Iter 150 / 3707 4.07350997925
Iter 200 / 3707 4.92411782297
Iter 250 / 3707 4.53980773172
Iter 300 / 3707 4.89684465413
Iter 350 / 3707 4.89452616374
Iter 400 / 3707 4.89945220947
Iter 450 / 3707 4.48077985975
Iter 500 / 3707 5.9321496582
Iter 550 / 3707 4.95648532444
Iter 600 / 3707 4.83427623402
Iter 650 / 3707 5.13525670786
Iter 700 / 3707 4.85096291935
Iter 750 / 3707 5.27395407937
Iter 800 / 3707 4.90621874528
Iter 850 / 3707 4.74360309948
Iter 900 / 3707 4.87255362577
Iter 950 / 3707 4.46739996047
Iter 1000 / 3707 5.87262258222
Iter 1050 / 3707 3.98670291901
Iter 1100 / 3707 4.39014231364
Iter 1150 / 3707 5.37115601819
Iter 1200 / 3707 4.77069022439
Iter 1250 / 3707 4.42782306671
Iter 1300 / 3707 4.26989228385
Iter 1350 / 3707 4.53180553295
