nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 3
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 7.3108/12.7996
[dynet]
[dynet] Device(s) selected: 3
[dynet] random seed: 710772777
[dynet] allocating memory: 5000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 4171 7.20534513594
Iter 100 / 4171 7.00829315186
Iter 150 / 4171 6.94420985172
Iter 200 / 4171 7.30242875043
Iter 250 / 4171 6.51520792643
Iter 300 / 4171 6.55489783654
Iter 350 / 4171 5.79524803162
Iter 400 / 4171 6.19203009972
Iter 450 / 4171 5.90976019965
Iter 500 / 4171 6.32644237172
Iter 550 / 4171 6.24935234918
Iter 600 / 4171 6.287114504
Iter 650 / 4171 5.91657433143
Iter 700 / 4171 5.7408454895
Iter 750 / 4171 6.17512084961
Iter 800 / 4171 6.15696080943
Iter 850 / 4171 5.73229528356
Iter 900 / 4171 6.157466182
Iter 950 / 4171 5.32367764986
Iter 1000 / 4171 5.83201136214
Iter 1050 / 4171 5.59844807216
Iter 1100 / 4171 5.48171663284
Iter 1150 / 4171 5.9649617513
Iter 1200 / 4171 5.63923963182
Iter 1250 / 4171 6.33760248229
Iter 1300 / 4171 5.56062062581
Iter 1350 / 4171 6.35212102926
Iter 1400 / 4171 4.53457641602
Iter 1450 / 4171 5.57511579241
Iter 1500 / 4171 5.53298304016
Iter 1550 / 4171 6.20094807943
Iter 1600 / 4171 5.31877880562
Iter 1650 / 4171 5.37723162616
Iter 1700 / 4171 5.89609042081
Iter 1750 / 4171 5.33713955349
Iter 1800 / 4171 5.73932978609
Iter 1850 / 4171 5.75898560338
Iter 1900 / 4171 5.9943395851
Iter 1950 / 4171 5.67119513618
Iter 2000 / 4171 5.58612180224
Iter 2050 / 4171 5.53603675717
Iter 2100 / 4171 5.58438850801
Iter 2150 / 4171 5.42254482171
Iter 2200 / 4171 5.66491416879
Iter 2250 / 4171 5.27073887416
Iter 2300 / 4171 5.34860098703
Iter 2350 / 4171 6.18175272225
Iter 2400 / 4171 5.54592730548
Iter 2450 / 4171 5.0813444291
Iter 2500 / 4171 5.183362765
Iter 2550 / 4171 5.03126317805
Iter 2600 / 4171 5.09956265673
Iter 2650 / 4171 5.52605517943
Iter 2700 / 4171 5.52940587516
Iter 2750 / 4171 5.30498518024
Iter 2800 / 4171 6.86210225423
Iter 2850 / 4171 6.14007960728
Iter 2900 / 4171 3.74808820089
Iter 2950 / 4171 5.85404025807
Iter 3000 / 4171 5.40669504801
Iter 3050 / 4171 5.15035811715
Iter 3100 / 4171 5.77684082031
Iter 3150 / 4171 5.07398293235
Iter 3200 / 4171 5.08746839549
Iter 3250 / 4171 5.35818065297
Iter 3300 / 4171 5.8355232614
Iter 3350 / 4171 5.52506719084
Iter 3400 / 4171 4.75482680377
Iter 3450 / 4171 4.98739471436
Iter 3500 / 4171 3.96704983711
Iter 3550 / 4171 5.24122837612
Iter 3600 / 4171 5.70534882722
Iter 3650 / 4171 4.92566040039
Iter 3700 / 4171 5.00626197957
Iter 3750 / 4171 5.36482069227
Iter 3800 / 4171 5.50056028366
Iter 3850 / 4171 4.44926879883
Iter 3900 / 4171 5.35013326009
Iter 3950 / 4171 5.20023639013
Iter 4000 / 4171 5.13372148786
Iter 4050 / 4171 4.94646742079
Iter 4100 / 4171 4.42378752572
Iter 4150 / 4171 4.92490820791
Epoch 1 Valid 1.13798515599
Epoch 1 Test 1.2222728109
Epoch 2
Iter 50 / 4171 4.56432257758
Iter 100 / 4171 5.25904558707
Iter 150 / 4171 4.91641985784
Iter 200 / 4171 5.0581908326
Iter 250 / 4171 6.03386288597
Iter 300 / 4171 4.48887340839
Iter 350 / 4171 4.99304933403
Iter 400 / 4171 5.15524537536
Iter 450 / 4171 5.08892235389
Iter 500 / 4171 2.99746704102
Iter 550 / 4171 4.59439321665
Iter 600 / 4171 4.54051540209
Iter 650 / 4171 5.06221573441
Iter 700 / 4171 6.0377399395
Iter 750 / 4171 5.33579989347
Iter 800 / 4171 4.91206731237
Iter 850 / 4171 5.14039076158
Iter 900 / 4171 5.27136464096
Iter 950 / 4171 4.80977861271
Iter 1000 / 4171 5.25019196541
Iter 1050 / 4171 4.51561274922
Iter 1100 / 4171 5.06593738903
Iter 1150 / 4171 5.00517755492
Iter 1200 / 4171 5.31864562216
Iter 1250 / 4171 4.59207102458
Iter 1300 / 4171 6.05191711426
Iter 1350 / 4171 4.63723913829
Iter 1400 / 4171 4.99444924631
Iter 1450 / 4171 5.54925149585
Iter 1500 / 4171 5.05305046045
Iter 1550 / 4171 5.25682741053
Iter 1600 / 4171 4.76582672427
Iter 1650 / 4171 5.17258498149
Iter 1700 / 4171 4.52880995614
Iter 1750 / 4171 5.23708496094
Iter 1800 / 4171 5.31113147736
Iter 1850 / 4171 5.59150292408
Iter 1900 / 4171 4.79243586614
Iter 1950 / 4171 4.51064046224
Iter 2000 / 4171 4.66370849609
Iter 2050 / 4171 5.06114997864
Iter 2100 / 4171 4.51375579834
Iter 2150 / 4171 4.99352935791
Iter 2200 / 4171 4.70558061992
Iter 2250 / 4171 5.00894219535
Iter 2300 / 4171 4.74628012521
Iter 2350 / 4171 4.40553845857
Iter 2400 / 4171 4.90904979217
Iter 2450 / 4171 4.69502906799
Iter 2500 / 4171 4.84340234078
Iter 2550 / 4171 5.205218376
Iter 2600 / 4171 5.03025677972
Iter 2650 / 4171 4.87963910784
Iter 2700 / 4171 4.44308520902
Iter 2750 / 4171 4.69914492653
Iter 2800 / 4171 4.86556889461
Iter 2850 / 4171 4.80961451037
Iter 2900 / 4171 4.89037879738
Iter 2950 / 4171 5.8130730523
Iter 3000 / 4171 4.81903597204
Iter 3050 / 4171 4.81699371338
Iter 3100 / 4171 4.51508765127
Iter 3150 / 4171 4.84578232927
Iter 3200 / 4171 4.88584133849
Iter 3250 / 4171 4.90965983073
Iter 3300 / 4171 4.02719295726
Iter 3350 / 4171 3.48634996916
Iter 3400 / 4171 4.88162086124
Iter 3450 / 4171 4.99023133843
Iter 3500 / 4171 5.32326804985
Iter 3550 / 4171 4.80061905472
Iter 3600 / 4171 4.27908556708
Iter 3650 / 4171 6.69333902995
Iter 3700 / 4171 4.57844412667
Iter 3750 / 4171 5.04871450977
Iter 3800 / 4171 5.1272150396
Iter 3850 / 4171 4.98178304036
Iter 3900 / 4171 3.96818998671
Iter 3950 / 4171 4.79950980079
Iter 4000 / 4171 4.82411605593
Iter 4050 / 4171 4.65979074877
Iter 4100 / 4171 4.72826873091
Iter 4150 / 4171 4.81757640839
Epoch 2 Valid 2.24885282037
Epoch 2 Test 2.20706097155
Epoch 3
Iter 50 / 4171 5.02678014877
Iter 100 / 4171 4.94986552254
Iter 150 / 4171 4.85291435305
Iter 200 / 4171 2.56880362374
Iter 250 / 4171 4.47400171616
Iter 300 / 4171 4.976008681
Iter 350 / 4171 5.03448439378
Iter 400 / 4171 4.80267363188
Iter 450 / 4171 4.90997351221
Iter 500 / 4171 4.7110004545
Iter 550 / 4171 4.21398925781
Iter 600 / 4171 4.60687144886
Iter 650 / 4171 4.19264484274
Iter 700 / 4171 4.38678436279
Iter 750 / 4171 4.19617925906
Iter 800 / 4171 4.57064936711
Iter 850 / 4171 4.35179805756
Iter 900 / 4171 4.95312998246
Iter 950 / 4171 4.31988601211
Iter 1000 / 4171 4.53317367312
Iter 1050 / 4171 4.55559243999
Iter 1100 / 4171 4.79227128462
Iter 1150 / 4171 4.87485877504
Iter 1200 / 4171 5.04110398403
Iter 1250 / 4171 4.33482060881
Iter 1300 / 4171 4.71046097367
Iter 1350 / 4171 4.76963046459
Iter 1400 / 4171 4.78201492973
Iter 1450 / 4171 4.85267937702
Iter 1500 / 4171 4.55501023384
Iter 1550 / 4171 4.92070704331
Iter 1600 / 4171 4.55898156186
Iter 1650 / 4171 4.26311941708
Iter 1700 / 4171 2.86166381836
Iter 1750 / 4171 4.89742367597
Iter 1800 / 4171 4.60206816917
Iter 1850 / 4171 4.39405987079
Iter 1900 / 4171 4.237428364
Iter 1950 / 4171 4.38001529534
Iter 2000 / 4171 4.99327935113
Iter 2050 / 4171 5.7784956747
Iter 2100 / 4171 4.40753374602
