nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 3
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 6.12408/12.7996
[dynet]
[dynet] Device(s) selected: 3
[dynet] random seed: 3893878449
[dynet] allocating memory: 5000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 3447 7.82883384011
Iter 100 / 3447 7.72759952366
Iter 150 / 3447 7.42292930966
Iter 200 / 3447 8.84935665131
Iter 250 / 3447 7.7491481236
Iter 300 / 3447 7.84382233796
Iter 350 / 3447 6.26736886161
Iter 400 / 3447 7.67462594169
Iter 450 / 3447 7.13040052141
Iter 500 / 3447 7.06423611111
Iter 550 / 3447 7.75791607481
Iter 600 / 3447 7.27002986524
Iter 650 / 3447 7.27264756423
Iter 700 / 3447 6.88928288285
Iter 750 / 3447 7.2237070257
Iter 800 / 3447 7.58074251811
Iter 850 / 3447 7.4331575591
Iter 900 / 3447 7.16356975276
Iter 950 / 3447 6.85046053193
Iter 1000 / 3447 6.853079319
Iter 1050 / 3447 6.10304260254
Iter 1100 / 3447 7.27829101563
Iter 1150 / 3447 6.5923576355
Iter 1200 / 3447 6.96256855556
Iter 1250 / 3447 7.06156492233
Iter 1300 / 3447 7.12554857509
Iter 1350 / 3447 7.00280253092
Iter 1400 / 3447 7.72742834757
Iter 1450 / 3447 6.65866317749
Iter 1500 / 3447 6.38417053223
Iter 1550 / 3447 8.06969633557
Iter 1600 / 3447 6.72154097124
Iter 1650 / 3447 6.20258182322
Iter 1700 / 3447 6.98256891424
Iter 1750 / 3447 6.34317874908
Iter 1800 / 3447 6.77987650138
Iter 1850 / 3447 6.69475855972
Iter 1900 / 3447 5.34179086396
Iter 1950 / 3447 7.02597459696
Iter 2000 / 3447 7.36408555773
Iter 2050 / 3447 6.16360909598
Iter 2100 / 3447 6.79394084457
Iter 2150 / 3447 6.61928272247
Iter 2200 / 3447 6.57982794793
Iter 2250 / 3447 6.65256272701
Iter 2300 / 3447 6.15921630859
Iter 2350 / 3447 6.58538256193
Iter 2400 / 3447 6.1260466399
Iter 2450 / 3447 6.14506944444
Iter 2500 / 3447 6.72324209502
Iter 2550 / 3447 5.97792327098
Iter 2600 / 3447 6.52421702509
Iter 2650 / 3447 6.39197188157
Iter 2700 / 3447 6.11291084675
Iter 2750 / 3447 7.05047907595
Iter 2800 / 3447 6.35196012084
Iter 2850 / 3447 5.99618911743
Iter 2900 / 3447 3.69444829767
Iter 2950 / 3447 5.30506184896
Iter 3000 / 3447 6.25899268841
Iter 3050 / 3447 5.91621949938
Iter 3100 / 3447 5.55458684553
Iter 3150 / 3447 6.50310940213
Iter 3200 / 3447 7.33249219259
Iter 3250 / 3447 6.73082258895
Iter 3300 / 3447 6.02646331787
Iter 3350 / 3447 3.92000508308
Iter 3400 / 3447 4.97916784952
Epoch 1 Valid 1.36483243538
Epoch 1 Test 1.56456158801
Epoch 2
Iter 50 / 3447 6.08802202013
Iter 100 / 3447 6.29508878747
Iter 150 / 3447 3.80726909637
Iter 200 / 3447 6.30884493314
Iter 250 / 3447 4.84842708812
Iter 300 / 3447 3.46934464399
Iter 350 / 3447 6.68608200718
Iter 400 / 3447 6.46725796383
Iter 450 / 3447 6.42659584993
Iter 500 / 3447 5.56928049723
Iter 550 / 3447 5.40599487305
Iter 600 / 3447 6.0587963785
Iter 650 / 3447 5.9995803833
Iter 700 / 3447 5.86663859049
Iter 750 / 3447 5.82014973958
Iter 800 / 3447 6.17879574424
Iter 850 / 3447 4.35073397053
Iter 900 / 3447 6.61648306603
Iter 950 / 3447 5.94245256696
Iter 1000 / 3447 4.26048589157
Iter 1050 / 3447 6.59844857675
Iter 1100 / 3447 5.94647681195
Iter 1150 / 3447 5.09464929459
Iter 1200 / 3447 5.81837972005
Iter 1250 / 3447 4.82053104524
Iter 1300 / 3447 6.75608910455
Iter 1350 / 3447 5.92203160336
Iter 1400 / 3447 6.39325690992
Iter 1450 / 3447 5.79481305574
Iter 1500 / 3447 6.02287655785
Iter 1550 / 3447 6.00013841902
Iter 1600 / 3447 5.73184833829
Iter 1650 / 3447 5.3272873451
Iter 1700 / 3447 6.17643641218
Iter 1750 / 3447 5.58249855042
Iter 1800 / 3447 6.24207750956
Iter 1850 / 3447 6.06756029631
Iter 1900 / 3447 4.9790187822
Iter 1950 / 3447 2.73398081462
Iter 2000 / 3447 5.82457842146
Iter 2050 / 3447 5.73466772782
Iter 2100 / 3447 4.66056060791
Iter 2150 / 3447 5.98550218727
Iter 2200 / 3447 6.41757397774
Iter 2250 / 3447 5.84480634417
Iter 2300 / 3447 6.01058376537
Iter 2350 / 3447 5.92517721242
Iter 2400 / 3447 5.78025013633
Iter 2450 / 3447 6.05427135121
Iter 2500 / 3447 6.26701711115
Iter 2550 / 3447 6.12584120562
Iter 2600 / 3447 6.76936825839
Iter 2650 / 3447 5.47854614258
Iter 2700 / 3447 5.17687061855
Iter 2750 / 3447 5.62730142345
Iter 2800 / 3447 5.6817747682
Iter 2850 / 3447 5.39469018076
Iter 2900 / 3447 5.81903948103
Iter 2950 / 3447 5.46881975446
Iter 3000 / 3447 6.19050789705
Iter 3050 / 3447 4.80848264694
Iter 3100 / 3447 5.56573867798
Iter 3150 / 3447 6.29448618787
Iter 3200 / 3447 4.76143070689
Iter 3250 / 3447 5.46621660505
Iter 3300 / 3447 6.46724836794
Iter 3350 / 3447 6.00992685954
Iter 3400 / 3447 6.06419655129
Epoch 2 Valid 2.49714621912
Epoch 2 Test 2.55207036013
Epoch 3
Iter 50 / 3447 6.18478956956
Iter 100 / 3447 5.26138687134
Iter 150 / 3447 5.20291493734
Iter 200 / 3447 5.18735362865
Iter 250 / 3447 5.8450280568
Iter 300 / 3447 5.37959905256
Iter 350 / 3447 5.61758531843
Iter 400 / 3447 4.96299028397
Iter 450 / 3447 6.23725190034
Iter 500 / 3447 5.22770131429
Iter 550 / 3447 5.50117024245
Iter 600 / 3447 5.71094499555
Iter 650 / 3447 5.16568267661
Iter 700 / 3447 5.89095865885
Iter 750 / 3447 5.24434967041
Iter 800 / 3447 6.17235839844
Iter 850 / 3447 5.66359203442
Iter 900 / 3447 5.30501259698
Iter 950 / 3447 5.35464116926
Iter 1000 / 3447 5.94574594498
Iter 1050 / 3447 6.34318892867
Iter 1100 / 3447 5.29725874978
Iter 1150 / 3447 5.03067244345
Iter 1200 / 3447 4.05417757901
Iter 1250 / 3447 4.38266456241
Iter 1300 / 3447 5.85222896667
Iter 1350 / 3447 5.48717278949
Iter 1400 / 3447 4.35308514219
Iter 1450 / 3447 3.41367371877
Iter 1500 / 3447 5.26503807607
Iter 1550 / 3447 4.21520360311
Iter 1600 / 3447 4.98971133762
Iter 1650 / 3447 4.99342404879
Iter 1700 / 3447 5.37543269566
Iter 1750 / 3447 5.80516144724
Iter 1800 / 3447 5.95750617981
Iter 1850 / 3447 4.62881275964
Iter 1900 / 3447 5.72362709045
Iter 1950 / 3447 6.01259482779
Iter 2000 / 3447 5.23930399041
Iter 2050 / 3447 5.88053653115
Iter 2100 / 3447 5.93323308771
Iter 2150 / 3447 4.66249015115
Iter 2200 / 3447 5.10655877529
Iter 2250 / 3447 5.7414855957
Iter 2300 / 3447 5.14192342122
Iter 2350 / 3447 5.54642354237
Iter 2400 / 3447 4.51495038201
Iter 2450 / 3447 5.51728269433
Iter 2500 / 3447 5.74989128113
Iter 2550 / 3447 6.97809776893
Iter 2600 / 3447 4.83819834391
Iter 2650 / 3447 6.31237475077
Iter 2700 / 3447 5.99502091418
Iter 2750 / 3447 5.26781622569
Iter 2800 / 3447 4.69944859947
Iter 2850 / 3447 5.34302312678
Iter 2900 / 3447 5.53965026855
Iter 2950 / 3447 5.61137107567
Iter 3000 / 3447 6.33792701134
Iter 3050 / 3447 5.43769142844
Iter 3100 / 3447 4.94835832384
Iter 3150 / 3447 5.42496863077
Iter 3200 / 3447 5.61040356879
Iter 3250 / 3447 5.63820469232
Iter 3300 / 3447 4.39473152161
Iter 3350 / 3447 6.08129523782
Iter 3400 / 3447 5.13792146955
Epoch 3 Valid 3.19465714444
Epoch 3 Test 3.28766419337
Epoch 4
Iter 50 / 3447 4.21022987366
Iter 100 / 3447 4.21493828566
