nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 3
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 12.6834/12.7996
[dynet]
[dynet] Device(s) selected: 3
[dynet] random seed: 1756335330
[dynet] allocating memory: 5000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 3707 7.15166346232
Iter 100 / 3707 6.88639468238
Iter 150 / 3707 7.74769592285
Iter 200 / 3707 6.6331432109
Iter 250 / 3707 6.64133691788
Iter 300 / 3707 6.71540262613
Iter 350 / 3707 7.24765902433
Iter 400 / 3707 6.29286847796
Iter 450 / 3707 6.51198730469
Iter 500 / 3707 6.23862348284
Iter 550 / 3707 6.50053282042
Iter 600 / 3707 6.48523114179
Iter 650 / 3707 7.0763973113
Iter 700 / 3707 6.34171429802
Iter 750 / 3707 6.27946619834
Iter 800 / 3707 5.00731945038
Iter 850 / 3707 6.13473739105
Iter 900 / 3707 5.90771314833
Iter 950 / 3707 6.32344311069
Iter 1000 / 3707 6.07443194919
Iter 1050 / 3707 6.151504929
Iter 1100 / 3707 5.97833761161
Iter 1150 / 3707 6.55416115381
Iter 1200 / 3707 5.91658465462
Iter 1250 / 3707 5.88469848633
Iter 1300 / 3707 5.87799835205
Iter 1350 / 3707 5.85399587531
Iter 1400 / 3707 6.38670797909
Iter 1450 / 3707 5.78076616923
Iter 1500 / 3707 5.69436431799
Iter 1550 / 3707 6.18532573313
Iter 1600 / 3707 5.74527407364
Iter 1650 / 3707 6.06092364971
Iter 1700 / 3707 5.86166118753
Iter 1750 / 3707 5.73981933594
Iter 1800 / 3707 6.36444627193
Iter 1850 / 3707 5.80255423652
Iter 1900 / 3707 6.09438105992
Iter 1950 / 3707 5.60493612289
Iter 2000 / 3707 6.32787970777
Iter 2050 / 3707 5.69435344023
Iter 2100 / 3707 5.57898864746
Iter 2150 / 3707 5.50887099444
Iter 2200 / 3707 5.98010162399
Iter 2250 / 3707 5.45131835937
Iter 2300 / 3707 6.65719931466
Iter 2350 / 3707 5.79428064255
Iter 2400 / 3707 4.94162981172
Iter 2450 / 3707 6.29739487592
Iter 2500 / 3707 5.98965265055
Iter 2550 / 3707 5.39807950533
Iter 2600 / 3707 5.49482291085
Iter 2650 / 3707 5.4492670695
Iter 2700 / 3707 6.00432332357
Iter 2750 / 3707 5.20225207011
Iter 2800 / 3707 5.43313259549
Iter 2850 / 3707 5.89060581752
Iter 2900 / 3707 5.37754414876
Iter 2950 / 3707 6.11688650471
Iter 3000 / 3707 5.81528569325
Iter 3050 / 3707 5.56748416785
Iter 3100 / 3707 5.199949646
Iter 3150 / 3707 5.57235013522
Iter 3200 / 3707 6.31844329834
Iter 3250 / 3707 5.16041776869
Iter 3300 / 3707 5.75315627007
Iter 3350 / 3707 5.5523622455
Iter 3400 / 3707 5.46360532699
Iter 3450 / 3707 6.18398920695
Iter 3500 / 3707 6.22221299468
Iter 3550 / 3707 6.82844686508
Iter 3600 / 3707 6.09783300781
Iter 3650 / 3707 5.01781503778
Iter 3700 / 3707 5.38801574707
Epoch 1 Valid 1.48059019103
Epoch 1 Test 1.68632437199
Epoch 2
Iter 50 / 3707 5.59610162846
Iter 100 / 3707 5.26756676962
Iter 150 / 3707 4.88853530884
Iter 200 / 3707 5.9951435671
Iter 250 / 3707 5.58288122106
Iter 300 / 3707 5.37990920608
Iter 350 / 3707 5.73845214844
Iter 400 / 3707 5.52455091412
Iter 450 / 3707 5.09715773225
Iter 500 / 3707 5.36987715501
Iter 550 / 3707 4.67914962769
Iter 600 / 3707 5.77431356017
Iter 650 / 3707 5.33599305764
Iter 700 / 3707 5.65296591482
Iter 750 / 3707 6.03269257417
Iter 800 / 3707 5.3373819987
Iter 850 / 3707 5.3488177986
Iter 900 / 3707 5.34624440772
Iter 950 / 3707 6.18068411691
Iter 1000 / 3707 5.09976041535
Iter 1050 / 3707 5.26785095215
Iter 1100 / 3707 5.26531177662
Iter 1150 / 3707 5.34431966146
Iter 1200 / 3707 5.17373221261
Iter 1250 / 3707 5.23965384743
Iter 1300 / 3707 5.01471396054
Iter 1350 / 3707 5.56854498191
Iter 1400 / 3707 5.04660320282
Iter 1450 / 3707 5.21847489301
Iter 1500 / 3707 5.47315418653
Iter 1550 / 3707 4.80679484776
Iter 1600 / 3707 5.35506720292
Iter 1650 / 3707 5.1578234159
Iter 1700 / 3707 4.82133746969
Iter 1750 / 3707 5.4805029975
Iter 1800 / 3707 5.29022566477
Iter 1850 / 3707 5.19478861491
Iter 1900 / 3707 6.01632489656
Iter 1950 / 3707 5.02786578554
Iter 2000 / 3707 5.43845248752
Iter 2050 / 3707 4.60365211571
Iter 2100 / 3707 5.02739847117
Iter 2150 / 3707 4.70315239646
Iter 2200 / 3707 4.8344914363
Iter 2250 / 3707 5.30054273103
Iter 2300 / 3707 5.4524230957
Iter 2350 / 3707 5.42473124682
Iter 2400 / 3707 5.02628929501
Iter 2450 / 3707 5.27021862212
Iter 2500 / 3707 6.16220008002
Iter 2550 / 3707 4.42699759347
Iter 2600 / 3707 5.05591155407
Iter 2650 / 3707 5.13125174386
Iter 2700 / 3707 4.61328214758
Iter 2750 / 3707 5.09719715948
Iter 2800 / 3707 5.3527766209
Iter 2850 / 3707 4.98824277131
Iter 2900 / 3707 5.46885193077
Iter 2950 / 3707 5.06809673887
Iter 3000 / 3707 5.02397240533
Iter 3050 / 3707 4.80828625223
Iter 3100 / 3707 5.24577668425
Iter 3150 / 3707 5.99165935906
Iter 3200 / 3707 4.96379386054
Iter 3250 / 3707 5.36124410258
Iter 3300 / 3707 4.6225420634
Iter 3350 / 3707 6.10893306026
Iter 3400 / 3707 5.11223347982
Iter 3450 / 3707 4.80484448946
Iter 3500 / 3707 5.10213128167
Iter 3550 / 3707 5.13909912109
Iter 3600 / 3707 5.50040817261
Iter 3650 / 3707 5.11284306342
Iter 3700 / 3707 4.97496956273
Epoch 2 Valid 3.07454576856
Epoch 2 Test 3.11224527518
Epoch 3
Iter 50 / 3707 5.06696912977
Iter 100 / 3707 4.80506266276
Iter 150 / 3707 4.33181599935
Iter 200 / 3707 4.4774889946
Iter 250 / 3707 4.91439480252
Iter 300 / 3707 4.08028831482
Iter 350 / 3707 6.19960228173
Iter 400 / 3707 4.84557342529
Iter 450 / 3707 5.26263760653
Iter 500 / 3707 4.6352224639
Iter 550 / 3707 4.28947143555
Iter 600 / 3707 4.55468428762
Iter 650 / 3707 5.4818572998
Iter 700 / 3707 5.04400574927
Iter 750 / 3707 4.45363532172
Iter 800 / 3707 4.82495548024
Iter 850 / 3707 5.81208933955
Iter 900 / 3707 4.86811163177
Iter 950 / 3707 4.99416254475
Iter 1000 / 3707 6.37620162964
Iter 1050 / 3707 4.51102427947
Iter 1100 / 3707 4.93625627484
Iter 1150 / 3707 4.54073045234
Iter 1200 / 3707 4.95323204627
Iter 1250 / 3707 5.39624727689
Iter 1300 / 3707 5.44369919236
Iter 1350 / 3707 4.81269454956
Iter 1400 / 3707 5.67603209779
Iter 1450 / 3707 4.97928187779
Iter 1500 / 3707 6.01384180242
Iter 1550 / 3707 5.02486928123
Iter 1600 / 3707 5.65969577365
Iter 1650 / 3707 4.63621807098
Iter 1700 / 3707 4.86085357666
Iter 1750 / 3707 4.97290836681
Iter 1800 / 3707 4.85777452257
Iter 1850 / 3707 5.01966747339
Iter 1900 / 3707 5.00590392365
Iter 1950 / 3707 4.86769941741
Iter 2000 / 3707 4.30338711209
Iter 2050 / 3707 5.1219156901
Iter 2100 / 3707 4.25685828073
Iter 2150 / 3707 4.77959298954
Iter 2200 / 3707 4.82241309504
Iter 2250 / 3707 5.07574193618
Iter 2300 / 3707 5.08403343675
Iter 2350 / 3707 4.97659235621
Iter 2400 / 3707 4.84785512288
Iter 2450 / 3707 4.59299520777
Iter 2500 / 3707 5.21697776101
Iter 2550 / 3707 5.13305344402
Iter 2600 / 3707 3.87068023682
Iter 2650 / 3707 4.80794618984
Iter 2700 / 3707 4.87511044457
Iter 2750 / 3707 5.07644568549
Iter 2800 / 3707 5.41817555529
Iter 2850 / 3707 4.98521968297
Iter 2900 / 3707 4.66929829915
Iter 2950 / 3707 4.40212846839
Iter 3000 / 3707 5.01875101725
