nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 3
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 12.6834/12.7996
[dynet]
[dynet] Device(s) selected: 3
[dynet] random seed: 1299836428
[dynet] allocating memory: 5000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 4558 6.57294741544
Iter 100 / 4558 6.47746225993
Iter 150 / 4558 6.39496088963
Iter 200 / 4558 5.97939397001
Iter 250 / 4558 5.93970883018
Iter 300 / 4558 5.78183449639
Iter 350 / 4558 6.11633361816
Iter 400 / 4558 5.38306975188
Iter 450 / 4558 5.27049401118
Iter 500 / 4558 5.57354377298
Iter 550 / 4558 5.57273749895
Iter 600 / 4558 5.44703180873
Iter 650 / 4558 5.73734761332
Iter 700 / 4558 5.69153429114
Iter 750 / 4558 5.2117641449
Iter 800 / 4558 5.56367341765
Iter 850 / 4558 5.12608591715
Iter 900 / 4558 5.28654337565
Iter 950 / 4558 5.52688156349
Iter 1000 / 4558 5.82720251251
Iter 1050 / 4558 5.18796633603
Iter 1100 / 4558 6.0614559467
Iter 1150 / 4558 5.07303797945
Iter 1200 / 4558 4.40796059056
Iter 1250 / 4558 5.50569982696
Iter 1300 / 4558 5.03293158791
Iter 1350 / 4558 4.24657440186
Iter 1400 / 4558 5.06363685685
Iter 1450 / 4558 4.06739849514
Iter 1500 / 4558 4.8309047699
Iter 1550 / 4558 4.5889162792
Iter 1600 / 4558 4.3615020752
Iter 1650 / 4558 4.745272974
Iter 1700 / 4558 4.13299973806
Iter 1750 / 4558 4.82388213187
Iter 1800 / 4558 4.66672043573
Iter 1850 / 4558 5.08811442057
Iter 1900 / 4558 4.56871830333
Iter 1950 / 4558 4.84118254288
Iter 2000 / 4558 4.32885178276
Iter 2050 / 4558 4.86349412138
Iter 2100 / 4558 4.826323304
Iter 2150 / 4558 3.90783825549
Iter 2200 / 4558 4.73560260275
Iter 2250 / 4558 4.94729600694
Iter 2300 / 4558 5.07418412429
Iter 2350 / 4558 4.41553085152
Iter 2400 / 4558 4.69691708213
Iter 2450 / 4558 4.30148828557
Iter 2500 / 4558 5.29837590998
Iter 2550 / 4558 2.31008625031
Iter 2600 / 4558 4.7433291626
Iter 2650 / 4558 4.31717732891
Iter 2700 / 4558 4.21736138581
Iter 2750 / 4558 3.77413732355
Iter 2800 / 4558 4.94327213788
Iter 2850 / 4558 3.99384832382
Iter 2900 / 4558 4.52568918251
Iter 2950 / 4558 4.30081176758
Iter 3000 / 4558 5.1373260498
Iter 3050 / 4558 4.05693223741
Iter 3100 / 4558 4.47712809245
Iter 3150 / 4558 5.12036987305
Iter 3200 / 4558 4.06253292686
Iter 3250 / 4558 4.10827015064
Iter 3300 / 4558 2.11888258798
Iter 3350 / 4558 3.74489321027
Iter 3400 / 4558 4.64179910196
Iter 3450 / 4558 4.31111823188
Iter 3500 / 4558 4.04549186862
Iter 3550 / 4558 4.38449702416
Iter 3600 / 4558 3.03887912205
Iter 3650 / 4558 4.29480603276
Iter 3700 / 4558 5.08640674878
Iter 3750 / 4558 4.49657236505
Iter 3800 / 4558 4.08926352476
Iter 3850 / 4558 4.33822475336
Iter 3900 / 4558 3.02856349945
Iter 3950 / 4558 4.31856647995
Iter 4000 / 4558 4.09749723736
Iter 4050 / 4558 4.79893798828
Iter 4100 / 4558 4.38577202691
Iter 4150 / 4558 4.84480880479
Iter 4200 / 4558 4.18527832031
Iter 4250 / 4558 3.93918096824
Iter 4300 / 4558 4.07015107807
Iter 4350 / 4558 4.1845999053
Iter 4400 / 4558 4.6058926466
Iter 4450 / 4558 4.25188143291
Iter 4500 / 4558 4.03161472923
Iter 4550 / 4558 5.24842622545
Epoch 1 Valid 11.33914121
Epoch 1 Test 10.9474941292
Epoch 2
Iter 50 / 4558 3.63860294737
Iter 100 / 4558 4.90445278002
Iter 150 / 4558 3.95589916854
Iter 200 / 4558 4.1161241686
Iter 250 / 4558 3.99208203125
Iter 300 / 4558 4.67043363131
Iter 350 / 4558 4.79073202199
Iter 400 / 4558 3.76295043299
Iter 450 / 4558 3.72562829379
Iter 500 / 4558 4.74459152222
Iter 550 / 4558 3.12006632487
Iter 600 / 4558 3.64164842878
Iter 650 / 4558 3.81552364952
Iter 700 / 4558 4.64521721734
Iter 750 / 4558 3.93915857723
Iter 800 / 4558 4.95929802789
Iter 850 / 4558 4.89461273508
Iter 900 / 4558 4.59600263323
Iter 950 / 4558 3.59875052316
Iter 1000 / 4558 3.67774184207
Iter 1050 / 4558 3.85716780996
Iter 1100 / 4558 3.94242790671
Iter 1150 / 4558 3.99940973266
Iter 1200 / 4558 3.73884911475
Iter 1250 / 4558 3.61135864258
Iter 1300 / 4558 3.44022521973
Iter 1350 / 4558 4.03443007871
Iter 1400 / 4558 4.72598763755
Iter 1450 / 4558 3.83652978194
Iter 1500 / 4558 3.70548749211
Iter 1550 / 4558 3.38549253676
Iter 1600 / 4558 6.54958315249
Iter 1650 / 4558 4.08975889625
Iter 1700 / 4558 3.74034496345
Iter 1750 / 4558 3.51125226702
Iter 1800 / 4558 3.92669387091
Iter 1850 / 4558 4.60002912555
Iter 1900 / 4558 4.60672614688
Iter 1950 / 4558 4.32750429426
Iter 2000 / 4558 3.97325696443
Iter 2050 / 4558 3.95252789638
Iter 2100 / 4558 3.98599541243
Iter 2150 / 4558 3.07141927083
Iter 2200 / 4558 3.49808013134
Iter 2250 / 4558 4.02805127596
Iter 2300 / 4558 3.4164906529
Iter 2350 / 4558 3.56879223633
Iter 2400 / 4558 3.75832926432
Iter 2450 / 4558 3.17092009514
Iter 2500 / 4558 3.971595106
Iter 2550 / 4558 3.48712525544
Iter 2600 / 4558 3.51169557925
Iter 2650 / 4558 5.09184734638
Iter 2700 / 4558 3.39848489864
Iter 2750 / 4558 4.56447725518
Iter 2800 / 4558 3.18942112393
Iter 2850 / 4558 3.51225280762
Iter 2900 / 4558 4.35510435199
Iter 2950 / 4558 4.52471662249
Iter 3000 / 4558 4.04728001186
Iter 3050 / 4558 4.1966645377
Iter 3100 / 4558 5.39543117176
Iter 3150 / 4558 4.24057777482
Iter 3200 / 4558 4.67724904706
Iter 3250 / 4558 3.84839081974
Iter 3300 / 4558 4.55832773844
Iter 3350 / 4558 4.09882269965
Iter 3400 / 4558 3.82433227539
Iter 3450 / 4558 4.57335258152
Iter 3500 / 4558 3.02363041469
Iter 3550 / 4558 3.83284152561
Iter 3600 / 4558 5.8264800427
Iter 3650 / 4558 4.32830031375
Iter 3700 / 4558 3.88925276131
Iter 3750 / 4558 4.10668500264
Iter 3800 / 4558 4.31602014814
Iter 3850 / 4558 4.590983412
Iter 3900 / 4558 3.1699404997
Iter 3950 / 4558 3.18949000041
Iter 4000 / 4558 3.46245897733
Iter 4050 / 4558 2.84124998613
Iter 4100 / 4558 3.54204836759
Iter 4150 / 4558 4.07295965211
Iter 4200 / 4558 4.39827734375
Iter 4250 / 4558 3.60042155873
Iter 4300 / 4558 3.99339174421
Iter 4350 / 4558 3.59714902214
Iter 4400 / 4558 3.41754858045
Iter 4450 / 4558 3.36659976414
Iter 4500 / 4558 3.78447101497
Iter 4550 / 4558 4.03233110144
Epoch 2 Valid 16.6206174671
Epoch 2 Test 15.9584595131
Epoch 3
Iter 50 / 4558 2.56553030014
Iter 100 / 4558 3.51894729202
Iter 150 / 4558 3.37959415211
Iter 200 / 4558 3.62849112874
Iter 250 / 4558 3.34987286159
Iter 300 / 4558 3.42052050781
Iter 350 / 4558 4.47313435872
Iter 400 / 4558 4.19340550622
Iter 450 / 4558 3.82444365128
Iter 500 / 4558 4.47670815208
Iter 550 / 4558 4.57970263672
Iter 600 / 4558 3.84435237311
Iter 650 / 4558 3.66399017752
Iter 700 / 4558 3.56188318969
Iter 750 / 4558 3.33806724548
Iter 800 / 4558 3.47663845486
Iter 850 / 4558 5.07176449424
Iter 900 / 4558 3.48117824332
Iter 950 / 4558 3.85244941711
Iter 1000 / 4558 3.79498535156
Iter 1050 / 4558 4.03516981337
Iter 1100 / 4558 3.15440704346
Iter 1150 / 4558 3.64282520001
Iter 1200 / 4558 3.39673928653
Iter 1250 / 4558 3.09528961182
Iter 1300 / 4558 3.59913247319
