nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 3
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 7.3108/12.7996
[dynet]
[dynet] Device(s) selected: 3
[dynet] random seed: 1814391774
[dynet] allocating memory: 5000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 4548 6.83855438232
Iter 100 / 4548 7.05119655443
Iter 150 / 4548 6.51285443987
Iter 200 / 4548 6.09477297465
Iter 250 / 4548 6.39228583916
Iter 300 / 4548 5.98700367647
Iter 350 / 4548 6.71176220122
Iter 400 / 4548 6.51447763751
Iter 450 / 4548 6.05546584356
Iter 500 / 4548 4.64050373278
Iter 550 / 4548 5.8761883904
Iter 600 / 4548 5.68342756305
Iter 650 / 4548 5.48513500507
Iter 700 / 4548 6.09878861277
Iter 750 / 4548 5.10348739624
Iter 800 / 4548 5.95348011364
Iter 850 / 4548 5.33335571289
Iter 900 / 4548 5.26838014012
Iter 950 / 4548 5.32211032444
Iter 1000 / 4548 5.5347035167
Iter 1050 / 4548 5.92651297829
Iter 1100 / 4548 5.39999462309
Iter 1150 / 4548 4.24344500373
Iter 1200 / 4548 4.97391240004
Iter 1250 / 4548 4.77929392169
Iter 1300 / 4548 5.12939615885
Iter 1350 / 4548 4.89522705078
Iter 1400 / 4548 3.92966924395
Iter 1450 / 4548 4.97558877634
Iter 1500 / 4548 5.62849852096
Iter 1550 / 4548 4.53486355868
Iter 1600 / 4548 4.60641601563
Iter 1650 / 4548 4.74564453125
Iter 1700 / 4548 4.67351096017
Iter 1750 / 4548 4.94912879398
Iter 1800 / 4548 4.34193938119
Iter 1850 / 4548 5.72329059469
Iter 1900 / 4548 5.19867917456
Iter 1950 / 4548 6.5163303722
Iter 2000 / 4548 4.97125869199
Iter 2050 / 4548 5.08149787972
Iter 2100 / 4548 4.58778298118
Iter 2150 / 4548 4.53644678148
Iter 2200 / 4548 3.80826443009
Iter 2250 / 4548 5.42724844126
Iter 2300 / 4548 2.72175331116
Iter 2350 / 4548 5.26967353325
Iter 2400 / 4548 4.44931030273
Iter 2450 / 4548 4.8825743539
Iter 2500 / 4548 4.7818422379
Iter 2550 / 4548 4.54741516113
Iter 2600 / 4548 5.35980668501
Iter 2650 / 4548 5.20508388303
Iter 2700 / 4548 5.43835830688
Iter 2750 / 4548 4.96626238142
Iter 2800 / 4548 4.61741541934
Iter 2850 / 4548 4.71765302575
Iter 2900 / 4548 4.79516880262
Iter 2950 / 4548 4.49328247229
Iter 3000 / 4548 5.5611138916
Iter 3050 / 4548 4.76976998245
Iter 3100 / 4548 4.62692951706
Iter 3150 / 4548 4.63008441347
Iter 3200 / 4548 4.29498853182
Iter 3250 / 4548 4.63492307079
Iter 3300 / 4548 4.15893798828
Iter 3350 / 4548 6.34267025902
Iter 3400 / 4548 4.77006921485
Iter 3450 / 4548 4.63061199644
Iter 3500 / 4548 4.99280489408
Iter 3550 / 4548 4.67211444561
Iter 3600 / 4548 4.19878807068
Iter 3650 / 4548 5.11159236257
Iter 3700 / 4548 4.40920042273
Iter 3750 / 4548 4.46125828442
Iter 3800 / 4548 3.87992763519
Iter 3850 / 4548 4.36045920632
Iter 3900 / 4548 3.82376749674
Iter 3950 / 4548 4.38559672038
Iter 4000 / 4548 4.29309804816
Iter 4050 / 4548 5.12986869243
Iter 4100 / 4548 4.38040713356
Iter 4150 / 4548 4.34040366279
Iter 4200 / 4548 5.8155553248
Iter 4250 / 4548 4.92537024713
Iter 4300 / 4548 5.43967541353
Iter 4350 / 4548 5.60042136863
Iter 4400 / 4548 4.49858370694
Iter 4450 / 4548 5.2068311474
Iter 4500 / 4548 3.94760253906
Epoch 1 Valid 8.34365996749
Epoch 1 Test 9.24097292817
Epoch 2
Iter 50 / 4548 3.62900095137
Iter 100 / 4548 4.31176795489
Iter 150 / 4548 4.58401275099
Iter 200 / 4548 4.36611694336
Iter 250 / 4548 4.7335804627
Iter 300 / 4548 4.04596825169
Iter 350 / 4548 4.84598727756
Iter 400 / 4548 4.03675166263
Iter 450 / 4548 3.85428841909
Iter 500 / 4548 3.92048136393
Iter 550 / 4548 3.66124784029
Iter 600 / 4548 4.19745417805
Iter 650 / 4548 4.74550525562
Iter 700 / 4548 5.19342592027
Iter 750 / 4548 4.46680107319
Iter 800 / 4548 4.11974881904
Iter 850 / 4548 4.46359350326
Iter 900 / 4548 4.23155133478
Iter 950 / 4548 4.4891803448
Iter 1000 / 4548 5.0782453429
Iter 1050 / 4548 3.97540147569
Iter 1100 / 4548 4.39164524452
Iter 1150 / 4548 3.03378934638
Iter 1200 / 4548 3.72275373671
Iter 1250 / 4548 3.70237609863
Iter 1300 / 4548 4.82516089151
Iter 1350 / 4548 3.98822056362
Iter 1400 / 4548 3.92158835275
Iter 1450 / 4548 4.90850529201
Iter 1500 / 4548 3.50726869371
Iter 1550 / 4548 3.05395088196
Iter 1600 / 4548 3.78298732213
Iter 1650 / 4548 4.05872116089
Iter 1700 / 4548 4.98975965712
Iter 1750 / 4548 3.77124710278
Iter 1800 / 4548 4.70451660156
Iter 1850 / 4548 3.7734375
Iter 1900 / 4548 3.88532409668
Iter 1950 / 4548 4.75703759766
Iter 2000 / 4548 3.54563713074
Iter 2050 / 4548 4.10587375848
Iter 2100 / 4548 4.33071551407
Iter 2150 / 4548 4.16079319945
Iter 2200 / 4548 4.16932703355
Iter 2250 / 4548 3.28726708628
Iter 2300 / 4548 3.99030085972
Iter 2350 / 4548 3.79822867257
Iter 2400 / 4548 3.20248325054
Iter 2450 / 4548 4.30201700846
Iter 2500 / 4548 4.42368445763
Iter 2550 / 4548 4.27243932088
Iter 2600 / 4548 4.28315330038
Iter 2650 / 4548 3.19404706088
Iter 2700 / 4548 2.67095178319
Iter 2750 / 4548 3.9378844246
Iter 2800 / 4548 4.41601816813
Iter 2850 / 4548 3.55164248444
Iter 2900 / 4548 4.61121695382
Iter 2950 / 4548 4.01400708395
Iter 3000 / 4548 4.01633522727
Iter 3050 / 4548 3.68800247547
Iter 3100 / 4548 4.20367452191
Iter 3150 / 4548 4.53611263152
Iter 3200 / 4548 3.60684712728
Iter 3250 / 4548 4.26762204054
Iter 3300 / 4548 2.7816756981
Iter 3350 / 4548 3.49809382512
Iter 3400 / 4548 3.43504964193
Iter 3450 / 4548 3.91248464584
Iter 3500 / 4548 5.16284818428
Iter 3550 / 4548 6.10074202741
Iter 3600 / 4548 3.85658531858
Iter 3650 / 4548 3.7098867243
Iter 3700 / 4548 3.99636324369
Iter 3750 / 4548 5.25204504104
Iter 3800 / 4548 3.9216262355
Iter 3850 / 4548 4.15529378255
Iter 3900 / 4548 3.75175333069
Iter 3950 / 4548 4.00476487478
Iter 4000 / 4548 3.44611299955
Iter 4050 / 4548 4.77726037162
Iter 4100 / 4548 3.85564152644
Iter 4150 / 4548 3.45701105454
Iter 4200 / 4548 3.5887298584
Iter 4250 / 4548 4.16449248485
Iter 4300 / 4548 3.58059310913
Iter 4350 / 4548 4.0596693172
Iter 4400 / 4548 3.25134981596
Iter 4450 / 4548 3.99532535571
Iter 4500 / 4548 3.63948896692
Epoch 2 Valid 13.415230691
Epoch 2 Test 14.175189758
Epoch 3
Iter 50 / 4548 3.97560161073
Iter 100 / 4548 3.44659339057
Iter 150 / 4548 3.45776964271
Iter 200 / 4548 3.63681862571
Iter 250 / 4548 3.76480231487
Iter 300 / 4548 4.01556955414
Iter 350 / 4548 3.52475738525
Iter 400 / 4548 3.97117524989
Iter 450 / 4548 4.60547610363
Iter 500 / 4548 5.45183875344
Iter 550 / 4548 3.61885172526
Iter 600 / 4548 3.58111963517
Iter 650 / 4548 3.1292368571
Iter 700 / 4548 3.07486861093
Iter 750 / 4548 3.49858419241
Iter 800 / 4548 3.66420054436
Iter 850 / 4548 3.91413238525
Iter 900 / 4548 3.71035766602
Iter 950 / 4548 3.63826112489
Iter 1000 / 4548 3.4208114624
Iter 1050 / 4548 3.44172115984
Iter 1100 / 4548 3.95193786621
Iter 1150 / 4548 3.67771073115
Iter 1200 / 4548 3.72966846068
Iter 1250 / 4548 3.43431260851
Iter 1300 / 4548 3.16404686289
Iter 1350 / 4548 3.54220621209
Iter 1400 / 4548 2.42122413838
