nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 2
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 8.35833/12.7996
[dynet]
[dynet] Device(s) selected: 2
[dynet] random seed: 1422477677
[dynet] allocating memory: 4000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 4170 7.34415248655
Iter 100 / 4170 6.72944335937
Iter 150 / 4170 6.38585502223
Iter 200 / 4170 6.39914629536
Iter 250 / 4170 6.65070263307
Iter 300 / 4170 7.233638057
Iter 350 / 4170 6.76803800795
Iter 400 / 4170 6.39976577759
Iter 450 / 4170 6.5212093099
Iter 500 / 4170 6.23080958946
Iter 550 / 4170 6.16149841309
Iter 600 / 4170 5.74765817743
Iter 650 / 4170 6.0230662028
Iter 700 / 4170 6.13582726681
Iter 750 / 4170 5.83219976011
Iter 800 / 4170 6.62599436442
Iter 850 / 4170 6.25586912367
Iter 900 / 4170 6.37482187699
Iter 950 / 4170 5.70937255859
Iter 1000 / 4170 6.11860141192
Iter 1050 / 4170 6.28511680045
Iter 1100 / 4170 6.26335961478
Iter 1150 / 4170 5.77052755917
Iter 1200 / 4170 6.59573364258
Iter 1250 / 4170 5.78148088957
Iter 1300 / 4170 5.37168324788
Iter 1350 / 4170 6.08785226004
Iter 1400 / 4170 5.34398078918
Iter 1450 / 4170 5.89429397583
Iter 1500 / 4170 5.73754178561
Iter 1550 / 4170 5.1721206665
Iter 1600 / 4170 5.96036237031
Iter 1650 / 4170 6.09376839416
Iter 1700 / 4170 5.29653540323
Iter 1750 / 4170 5.68452453613
Iter 1800 / 4170 5.91876381322
Iter 1850 / 4170 4.96901462795
Iter 1900 / 4170 5.91366808342
Iter 1950 / 4170 5.61015951222
Iter 2000 / 4170 5.33677753649
Iter 2050 / 4170 5.96873328799
Iter 2100 / 4170 6.16070326319
Iter 2150 / 4170 6.22595914205
Iter 2200 / 4170 5.98376682826
Iter 2250 / 4170 5.62417962684
Iter 2300 / 4170 5.43697030204
Iter 2350 / 4170 5.7859749349
Iter 2400 / 4170 5.54076936141
Iter 2450 / 4170 5.13127797445
Iter 2500 / 4170 5.96956176758
Iter 2550 / 4170 6.27564313335
Iter 2600 / 4170 5.43081309001
Iter 2650 / 4170 5.2631351594
Iter 2700 / 4170 5.45195817406
Iter 2750 / 4170 6.04012952532
Iter 2800 / 4170 5.63118623432
Iter 2850 / 4170 4.81419229507
Iter 2900 / 4170 5.70411149364
Iter 2950 / 4170 5.60474035242
Iter 3000 / 4170 5.60532424029
Iter 3050 / 4170 5.45295206706
Iter 3100 / 4170 5.81113032971
Iter 3150 / 4170 5.24017381668
Iter 3200 / 4170 5.48425539575
Iter 3250 / 4170 5.08505091174
Iter 3300 / 4170 5.26572779605
Iter 3350 / 4170 5.4938439698
Iter 3400 / 4170 5.64722313819
Iter 3450 / 4170 4.99592888874
Iter 3500 / 4170 4.59709944815
Iter 3550 / 4170 5.51802238089
Iter 3600 / 4170 5.4425548685
Iter 3650 / 4170 5.99967098236
Iter 3700 / 4170 5.30599069595
Iter 3750 / 4170 5.51921976024
Iter 3800 / 4170 5.12725360577
Iter 3850 / 4170 5.31900052242
Iter 3900 / 4170 5.18066171499
Iter 3950 / 4170 5.24742889404
Iter 4000 / 4170 5.59352484809
Iter 4050 / 4170 5.09115189772
Iter 4100 / 4170 5.54556758026
Iter 4150 / 4170 5.51281770833
Epoch 1 Valid 2.47114182254
Epoch 1 Test 2.49783093623
Epoch 2
Iter 50 / 4170 4.69116744995
Iter 100 / 4170 5.34467212574
Iter 150 / 4170 5.0576742849
Iter 200 / 4170 5.16588427734
Iter 250 / 4170 4.54591941833
Iter 300 / 4170 2.32579016685
Iter 350 / 4170 4.80415609609
Iter 400 / 4170 5.19732931386
Iter 450 / 4170 5.60659450955
Iter 500 / 4170 4.95379775114
Iter 550 / 4170 4.90645507813
Iter 600 / 4170 5.17157147382
Iter 650 / 4170 5.28365866343
Iter 700 / 4170 4.73921871185
Iter 750 / 4170 5.10193695893
Iter 800 / 4170 5.63332748413
Iter 850 / 4170 5.09290897145
Iter 900 / 4170 5.40367731972
Iter 950 / 4170 5.1473367256
Iter 1000 / 4170 4.94385076915
Iter 1050 / 4170 5.15472709037
Iter 1100 / 4170 5.22930103344
Iter 1150 / 4170 7.12120132446
Iter 1200 / 4170 4.76178255948
Iter 1250 / 4170 5.15815791377
Iter 1300 / 4170 4.50741241455
Iter 1350 / 4170 5.97960571289
Iter 1400 / 4170 5.8658012977
Iter 1450 / 4170 5.04393310547
Iter 1500 / 4170 5.12027835846
Iter 1550 / 4170 5.15148905932
Iter 1600 / 4170 5.12481980097
Iter 1650 / 4170 5.1186963992
Iter 1700 / 4170 5.14705052869
Iter 1750 / 4170 4.88419688832
Iter 1800 / 4170 4.18473538485
Iter 1850 / 4170 4.27324440047
Iter 1900 / 4170 5.28010656282
Iter 1950 / 4170 4.58870124817
Iter 2000 / 4170 4.81295998313
Iter 2050 / 4170 6.15995964637
Iter 2100 / 4170 5.29100613064
Iter 2150 / 4170 5.26202121311
Iter 2200 / 4170 4.95109520274
Iter 2250 / 4170 4.4151468277
Iter 2300 / 4170 4.48032467182
Iter 2350 / 4170 5.09985550051
Iter 2400 / 4170 4.8849568367
Iter 2450 / 4170 2.30820098877
Iter 2500 / 4170 5.06108881353
Iter 2550 / 4170 5.3364275152
Iter 2600 / 4170 4.92094666281
Iter 2650 / 4170 4.97221011579
Iter 2700 / 4170 5.62283379691
Iter 2750 / 4170 4.35230102539
Iter 2800 / 4170 5.09183243461
Iter 2850 / 4170 5.94268844377
Iter 2900 / 4170 5.23948439213
Iter 2950 / 4170 4.93215151186
Iter 3000 / 4170 4.04111208235
Iter 3050 / 4170 5.08100862323
Iter 3100 / 4170 4.78871715578
Iter 3150 / 4170 5.033331036
Iter 3200 / 4170 4.79106285459
Iter 3250 / 4170 5.05888366699
Iter 3300 / 4170 4.89254097317
Iter 3350 / 4170 4.35904846191
Iter 3400 / 4170 5.52536362157
Iter 3450 / 4170 4.97990806341
Iter 3500 / 4170 4.50118334221
Iter 3550 / 4170 4.53528554816
Iter 3600 / 4170 4.54835401263
Iter 3650 / 4170 4.71502025707
Iter 3700 / 4170 5.7781214097
Iter 3750 / 4170 4.74629380968
Iter 3800 / 4170 5.21010202601
Iter 3850 / 4170 4.60174833025
Iter 3900 / 4170 4.67527627537
Iter 3950 / 4170 5.55494384766
Iter 4000 / 4170 4.64661865234
Iter 4050 / 4170 5.97105078604
Iter 4100 / 4170 4.92515788359
Iter 4150 / 4170 4.83469935826
Epoch 2 Valid 4.67417091988
Epoch 2 Test 4.7906105585
Epoch 3
Iter 50 / 4170 4.29028320312
Iter 100 / 4170 4.57483782087
Iter 150 / 4170 4.83462048815
Iter 200 / 4170 2.60209083557
Iter 250 / 4170 4.78705291748
Iter 300 / 4170 4.6314795812
Iter 350 / 4170 4.80950055804
Iter 400 / 4170 7.08044179281
