nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 2
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 12.6834/12.7996
[dynet]
[dynet] Device(s) selected: 2
[dynet] random seed: 3767569744
[dynet] allocating memory: 11000MB
[dynet] memory allocation done.
Epoch 1
Iter 50 / 8000 8.37720969871
Iter 100 / 8000 9.08809894064
Iter 150 / 8000 7.86148340562
Iter 200 / 8000 7.65251340704
Iter 250 / 8000 7.68481665259
Iter 300 / 8000 7.27461407001
Iter 350 / 8000 7.19802341213
Iter 400 / 8000 7.18359710157
Iter 450 / 8000 7.64317626953
Iter 500 / 8000 6.67266314963
Iter 550 / 8000 6.52475520543
Iter 600 / 8000 7.14376068115
Iter 650 / 8000 6.88701340248
Iter 700 / 8000 7.50756109328
Iter 750 / 8000 6.51672520995
Iter 800 / 8000 6.78169389205
Iter 850 / 8000 7.47515258789
Iter 900 / 8000 7.41095807475
Iter 950 / 8000 6.47923243323
Iter 1000 / 8000 6.31996760956
Iter 1050 / 8000 7.6121188893
Iter 1100 / 8000 6.3302675883
Iter 1150 / 8000 7.35602930972
Iter 1200 / 8000 6.41849300987
Iter 1250 / 8000 7.61940135127
Iter 1300 / 8000 7.05644726152
Iter 1350 / 8000 7.41186777751
Iter 1400 / 8000 7.48550969904
Iter 1450 / 8000 6.33283996582
Iter 1500 / 8000 7.96192500276
Iter 1550 / 8000 6.08342658548
Iter 1600 / 8000 7.13663373162
Iter 1650 / 8000 6.49698003133
Iter 1700 / 8000 6.41809711759
Iter 1750 / 8000 5.99886802391
Iter 1800 / 8000 6.78103574117
Iter 1850 / 8000 6.71445560455
Iter 1900 / 8000 6.83057022095
Iter 1950 / 8000 5.59742985215
Iter 2000 / 8000 7.15567914177
Iter 2050 / 8000 5.51927992877
Iter 2100 / 8000 6.90983200073
Iter 2150 / 8000 5.96769686612
Iter 2200 / 8000 6.04923798464
Iter 2250 / 8000 5.87580611066
Iter 2300 / 8000 6.27953749437
Iter 2350 / 8000 6.66146183014
Iter 2400 / 8000 5.69703276261
Iter 2450 / 8000 5.85509910583
Iter 2500 / 8000 6.99453735352
Iter 2550 / 8000 6.74270403827
Iter 2600 / 8000 5.73345330056
Iter 2650 / 8000 6.71341407905
Iter 2700 / 8000 6.2041015625
Iter 2750 / 8000 6.23109371561
Iter 2800 / 8000 5.05381620103
Iter 2850 / 8000 6.00126692828
Iter 2900 / 8000 6.41215192674
Iter 2950 / 8000 6.84527744391
Iter 3000 / 8000 5.5689930386
Iter 3050 / 8000 5.73980088667
Iter 3100 / 8000 5.45543228953
Iter 3150 / 8000 6.339010168
Iter 3200 / 8000 6.47230965751
Iter 3250 / 8000 5.9268344311
Iter 3300 / 8000 6.57073805067
Iter 3350 / 8000 5.54489671138
Iter 3400 / 8000 6.35318136215
Iter 3450 / 8000 7.41439819336
Iter 3500 / 8000 5.64088097397
Iter 3550 / 8000 5.66557947795
Iter 3600 / 8000 6.93338088989
Iter 3650 / 8000 7.23314127604
Iter 3700 / 8000 6.51542108709
Iter 3750 / 8000 7.02623291016
Iter 3800 / 8000 5.83827819824
Iter 3850 / 8000 6.31294250488
Iter 3900 / 8000 5.62801434917
Iter 3950 / 8000 5.25976839933
Iter 4000 / 8000 5.80434154604
Iter 4050 / 8000 5.82641781078
Iter 4100 / 8000 5.41578657549
Iter 4150 / 8000 6.93575345553
Iter 4200 / 8000 7.03704198201
Iter 4250 / 8000 5.45781315984
Iter 4300 / 8000 5.99980695858
Iter 4350 / 8000 6.23294721331
Iter 4400 / 8000 5.17178239494
Iter 4450 / 8000 5.92657159299
Iter 4500 / 8000 6.23677775065
Iter 4550 / 8000 6.04740715027
Iter 4600 / 8000 5.41228267125
Iter 4650 / 8000 5.76194953918
Iter 4700 / 8000 5.43794335259
Iter 4750 / 8000 6.0781122252
Iter 4800 / 8000 6.67144902547
Iter 4850 / 8000 5.98466709682
Iter 4900 / 8000 6.47247823079
Iter 4950 / 8000 6.76254548945
Iter 5000 / 8000 5.54336002895
Iter 5050 / 8000 5.94889292997
Iter 5100 / 8000 5.43209985743
Iter 5150 / 8000 5.5334564209
Iter 5200 / 8000 5.21242427826
Iter 5250 / 8000 5.35013834635
Iter 5300 / 8000 5.39137454442
Iter 5350 / 8000 5.44239589146
Iter 5400 / 8000 5.22460624499
Iter 5450 / 8000 6.49750229408
Iter 5500 / 8000 5.86102560292
Iter 5550 / 8000 6.57042287191
Iter 5600 / 8000 6.74949201617
Iter 5650 / 8000 6.77870788574
Iter 5700 / 8000 5.4540197199
Iter 5750 / 8000 5.85153325399
Iter 5800 / 8000 5.48021763393
Iter 5850 / 8000 6.58970811632
Iter 5900 / 8000 5.82113872327
Iter 5950 / 8000 6.20683002472
Iter 6000 / 8000 6.04551493327
Iter 6050 / 8000 6.64375495911
Iter 6100 / 8000 5.93460559845
Iter 6150 / 8000 4.62613042196
Iter 6200 / 8000 5.88098551432
Iter 6250 / 8000 5.72082737514
Iter 6300 / 8000 6.61593052765
Iter 6350 / 8000 5.59127103365
Iter 6400 / 8000 4.63129990522
Iter 6450 / 8000 6.78488231841
Iter 6500 / 8000 5.21734015147
Iter 6550 / 8000 5.95515823364
Iter 6600 / 8000 5.42725678352
Iter 6650 / 8000 6.61707426372
Iter 6700 / 8000 5.45115257712
Iter 6750 / 8000 6.36990356445
Iter 6800 / 8000 4.71758141678
Iter 6850 / 8000 5.82265002911
Iter 6900 / 8000 6.33020723783
Iter 6950 / 8000 6.36087246599
Iter 7000 / 8000 5.29632104801
Iter 7050 / 8000 5.24046325684
Iter 7100 / 8000 6.13828277588
Iter 7150 / 8000 5.08791798559
Iter 7200 / 8000 5.99506923131
Iter 7250 / 8000 6.71677732005
Iter 7300 / 8000 3.57156699044
Iter 7350 / 8000 6.25951426516
Iter 7400 / 8000 5.19663480202
Iter 7450 / 8000 6.5155203683
Iter 7500 / 8000 5.15162580287
Iter 7550 / 8000 5.12195502387
Iter 7600 / 8000 6.45217849269
Iter 7650 / 8000 5.66368266514
Iter 7700 / 8000 5.08962776893
Iter 7750 / 8000 5.02166865422
Iter 7800 / 8000 5.66239522298
Iter 7850 / 8000 5.05833892822
Iter 7900 / 8000 5.55433578491
Iter 7950 / 8000 6.66334025065
Iter 8000 / 8000 6.40453530473
Epoch 1 Valid 1.30346929163
Epoch 1 Valid 0.966171369287
Epoch 1 Valid 2.23257025997
Epoch 1 Test 1.45549007847
Epoch 1 Test 1.01993008259
Epoch 1 Test 2.12029915447
Epoch 2
Iter 50 / 8000 5.60295532227
Iter 100 / 8000 4.63765954971
Iter 150 / 8000 6.95190827743
Iter 200 / 8000 4.64866071429
Iter 250 / 8000 5.52121353149
Iter 300 / 8000 7.76469222359
Iter 350 / 8000 5.04853119721
Iter 400 / 8000 6.01497268677
Iter 450 / 8000 6.74522766113
Iter 500 / 8000 5.7009185791
Iter 550 / 8000 5.75643170466
Iter 600 / 8000 4.13624445597
